UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Aug08 ?        00:00:27 init [3]  
root         2     0  0 Aug08 ?        00:00:00 [kthreadd]
root         3     2  0 Aug08 ?        00:03:23 [ksoftirqd/0]
root         6     2 99 Aug08 ?        11-01:40:51 [migration/0]
root         7     2  0 Aug08 ?        00:00:01 [watchdog/0]
root         8     2  0 Aug08 ?        00:00:00 [migration/1]
root         9     2  0 Aug08 ?        00:05:57 [kworker/1:0]
root        10     2  0 Aug08 ?        00:00:35 [ksoftirqd/1]
root        12     2  0 Aug08 ?        00:00:01 [watchdog/1]
root        13     2  0 Aug08 ?        00:00:00 [migration/2]
root        14     2  0 Aug08 ?        00:04:18 [kworker/2:0]
root        15     2  0 Aug08 ?        00:00:19 [ksoftirqd/2]
root        16     2  0 Aug08 ?        00:00:01 [watchdog/2]
root        17     2  0 Aug08 ?        00:00:00 [migration/3]
root        18     2  0 Aug08 ?        00:06:41 [kworker/3:0]
root        19     2  0 Aug08 ?        00:00:22 [ksoftirqd/3]
root        20     2  0 Aug08 ?        00:00:01 [watchdog/3]
root        21     2  0 Aug08 ?        00:00:00 [migration/4]
root        22     2  0 Aug08 ?        00:04:29 [kworker/4:0]
root        23     2  0 Aug08 ?        00:00:17 [ksoftirqd/4]
root        24     2  0 Aug08 ?        00:00:07 [watchdog/4]
root        25     2  0 Aug08 ?        00:00:00 [migration/5]
root        26     2  0 Aug08 ?        00:03:42 [kworker/5:0]
root        27     2  0 Aug08 ?        00:00:23 [ksoftirqd/5]
root        28     2  0 Aug08 ?        00:00:01 [watchdog/5]
root        29     2 50 Aug08 ?        5-15:59:43 [migration/6]
root        31     2  0 Aug08 ?        00:01:10 [ksoftirqd/6]
root        32     2  0 Aug08 ?        00:00:01 [watchdog/6]
root        33     2  0 Aug08 ?        00:00:00 [migration/7]
root        35     2  0 Aug08 ?        00:00:42 [ksoftirqd/7]
root        36     2  0 Aug08 ?        00:00:01 [watchdog/7]
root        37     2  0 Aug08 ?        00:00:00 [migration/8]
root        38     2  0 Aug08 ?        00:07:25 [kworker/8:0]
root        39     2  0 Aug08 ?        00:00:31 [ksoftirqd/8]
root        40     2  0 Aug08 ?        00:00:01 [watchdog/8]
root        41     2  0 Aug08 ?        00:00:00 [migration/9]
root        42     2  0 Aug08 ?        00:06:49 [kworker/9:0]
root        43     2  0 Aug08 ?        00:00:39 [ksoftirqd/9]
root        44     2  0 Aug08 ?        00:00:01 [watchdog/9]
root        45     2  0 Aug08 ?        00:00:00 [migration/10]
root        46     2  0 Aug08 ?        00:03:39 [kworker/10:0]
root        47     2  0 Aug08 ?        00:00:16 [ksoftirqd/10]
root        48     2  0 Aug08 ?        00:00:01 [watchdog/10]
root        49     2  0 Aug08 ?        00:00:00 [migration/11]
root        50     2  0 Aug08 ?        00:04:11 [kworker/11:0]
root        51     2  0 Aug08 ?        00:00:26 [ksoftirqd/11]
root        52     2  0 Aug08 ?        00:00:01 [watchdog/11]
root        53     2 37 Aug08 ?        4-04:09:17 [migration/12]
root        54     2  0 Aug08 ?        00:02:18 [kworker/12:0]
root        55     2  0 Aug08 ?        00:00:05 [ksoftirqd/12]
root        56     2  0 Aug08 ?        00:00:07 [watchdog/12]
root        57     2 96 Aug08 ?        10-18:11:28 [migration/13]
root        58     2  0 Aug08 ?        00:03:01 [kworker/13:0]
root        59     2  0 Aug08 ?        00:00:06 [ksoftirqd/13]
root        60     2  0 Aug08 ?        00:00:06 [watchdog/13]
root        61     2 90 Aug08 ?        10-02:12:48 [migration/14]
root        62     2  0 Aug08 ?        00:02:15 [kworker/14:0]
root        63     2  0 Aug08 ?        00:00:04 [ksoftirqd/14]
root        64     2  0 Aug08 ?        00:00:04 [watchdog/14]
root        65     2 82 Aug08 ?        9-03:37:05 [migration/15]
root        67     2  0 Aug08 ?        00:00:20 [ksoftirqd/15]
root        68     2  0 Aug08 ?        00:00:01 [watchdog/15]
root        69     2 99 Aug08 ?        11-02:19:00 [migration/16]
root        70     2  0 Aug08 ?        00:01:51 [kworker/16:0]
root        71     2  0 Aug08 ?        00:00:03 [ksoftirqd/16]
root        72     2  0 Aug08 ?        00:00:06 [watchdog/16]
root        73     2 90 Aug08 ?        10-00:17:58 [migration/17]
root        74     2  0 Aug08 ?        00:00:57 [kworker/17:0]
root        75     2  0 Aug08 ?        00:00:04 [ksoftirqd/17]
